video,timestamp,plate
sample.mp4,0,KA 41B 9981
sample.mp4,3,KA 54MD 1492
sample.mp4,3,KA 51MD 1492
sample.mp4,4,KA 51MD 149
sample.mp4,4,KA 51M 0
sample.mp4,4,KA 02Z 9624
sample.mp4,6,KA 53MA 8313
sample.mp4,6,KA 53HA 8313
sample.mp4,7,FO 14H 5795
